,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,총 상주인구 수,상권_코드_명,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
257,2020,2,D,발달상권,1001229,276.0,서울 종로구 종로5가역_4,1.0,25.0,83500000.0
258,2020,2,D,발달상권,1001228,736.0,NaN,NaN,NaN,NaN
259,2020,2,D,발달상권,1001227,608.0,종로구청,1.0,141.0,690722222.0
260,2020,2,D,발달상권,1001226,2188.0,서울 종로구 종로5가역_2,10.0,39.0,176304234.0
261,2020,2,D,발달상권,1001225,450.0,신설동역,2.0,15.0,84250000.0
262,2020,2,D,발달상권,1001224,291.0,서울 동대문구 신설동역_1,2.0,48.0,147279412.0
263,2020,2,D,발달상권,1001223,2941.0,서울 종로구 광화문역_2,8.0,116.0,598463056.0
264,2020,2,D,발달상권,1001222,833.0,NaN,NaN,NaN,NaN
265,2020,2,D,발달상권,1001221,4119.0,장안동사거리,22.0,61.0,207323604.0
266,2020,2,D,발달상권,1001220,582.0,NaN,NaN,NaN,NaN
267,2020,2,D,발달상권,1001219,120.0,NaN,NaN,NaN,NaN
268,2020,2,D,발달상권,1001218,20.0,NaN,NaN,NaN,NaN
269,2020,2,D,발달상권,1001217,24.0,NaN,NaN,NaN,NaN
270,2020,2,D,발달상권,1001216,209.0,NaN,NaN,NaN,NaN
271,2020,2,D,발달상권,1001215,15.0,NaN,NaN,NaN,NaN
272,2020,2,D,발달상권,1001214,3.0,NaN,NaN,NaN,NaN
273,2020,2,D,발달상권,1001213,161.0,종각역 젊음의 거리,1.0,21.0,109285714.0
274,2020,2,D,발달상권,1001212,1449.0,NaN,NaN,NaN,NaN
275,2020,2,D,발달상권,1001211,21.0,NaN,NaN,NaN,NaN
276,2020,2,D,발달상권,1001210,1091.0,시청역_2,2.0,75.0,541220399.0
277,2020,2,D,발달상권,1001209,66.0,NaN,NaN,NaN,NaN
278,2020,2,D,발달상권,1001208,469.0,서울 중구 을지로3가역_2,2.0,77.0,220729143.0
279,2020,2,D,발달상권,1001207,336.0,서울 중구 신당역_2,2.0,20.0,186508889.0
280,2020,2,D,발달상권,1001206,875.0,서대문구 서대문역_2,6.0,41.0,157996791.0
281,2020,2,D,발달상권,1001205,406.0,동대문역사문화공원역,1.0,46.0,86000000.0
282,2020,2,D,발달상권,1001204,396.0,NaN,NaN,NaN,NaN
283,2020,2,D,발달상권,1001203,138.0,NaN,NaN,NaN,NaN
284,2020,2,D,발달상권,1001202,1.0,NaN,NaN,NaN,NaN
285,2020,2,D,발달상권,1001201,871.0,서울 중구 신당역_1,6.0,68.0,228498745.0
286,2020,2,D,발달상권,1001200,261.0,NaN,NaN,NaN,NaN
